"paper_type","revenue","account_id","account_manager","account_name","business_size","cancelled_at","days_to_close","days_to_ship","discount","index","order_id","payment_cycle","price","product_id","product_name","purchased_at","quantity","rating","returned_at","review","reviewed_at","shipping_address","shipping_city","shipping_cost","shipping_latitude","shipping_longitude","shipping_mode","shipping_region","shipping_state","shipping_zip","status","order_contact_name","order_contact_email"
"Printer",1450.8999999999999,"60906229fc13ae0a6b0001a9","Kevin Malone","Kuvalis LLC",954,,8,7,,5,"3b23ad00-b529-4bc1-8f05-566dca7d7882","WEEK",13.19,"20270","Astrobrights Color Paper, 24 lb./89 gsm, Neon 5-Color Assortment, 500 Sheets/Pack",2021-12-29 16:11:20.000,110,5,,"Found this site through a coupon deal and got a great deal!",2022-01-17 01:04:08.000,"18 Eagle Crest Center","Brownview",100,28.369422,-82.511021,"EXPRESS","West","UT",34611,"COMPLETED","Olaf Anteater","olaf@kuvalis.com"
"Multipurpose",21798,"60906229fc13ae0a6b000356","Ryan Howard","Mitchell LLC",694,,57,6,,2,"3be9a3d8-a069-48cd-bf6e-68aeb647f9ad","BIWEEK",108.99,"NMP1124","Navigator Premium Multipurpose Paper, 24 lbs., 99 Brightness, 500/Ream, 10 Reams/Carton",2021-11-19 05:01:54.000,200,3,,"They get the job well, but not particularly well or in any special way. Solid, dependable.",2021-12-06 18:28:18.000,"85812 Sommers Junction","East Larissaburgh",100,,,"EXPRESS","West","HI",151,"COMPLETED","Hazel Squirrel","hazel@mitchell.com"
"Multipurpose",1138.1000000000001,"60906229fc13ae0a6b00018a","Ryan Howard","Hintz LLC",619,,99,7,,13,"3c055072-201d-43e0-af93-3ef5122376f4","BIWEEK",5.99,"HPC8511","HP Office20 Multipurpose Paper, 20 lbs., 92 Brightness, 500/Ream",2021-09-05 14:40:58.000,190,,,,,"380 Fordem Park","Zboncakton",100,40.092408,-79.082247,"EXPRESS","West","MT",15556,"COMPLETED","Doc Rabbit","doc@hintz.com"
"Printer",1187.1,"60906229fc13ae0a6b000232","Ryan Howard","Ernser LLC",246,,9,6,,3,"3ca124a5-2bb8-4b87-b970-3f5baf0d43bf","BIWEEK",13.19,"20270","Astrobrights Color Paper, 24 lb./89 gsm, Neon 5-Color Assortment, 500 Sheets/Pack",2021-08-02 05:02:38.000,90,3,,"Shipping is pretty slow",2021-08-22 15:36:14.000,"07710 Village Terrace","Ullrichberg",,43.142293,-70.626458,"REGULAR","South","GA",3955,"COMPLETED","Ellie Elephant","ellie@ernser.com"
"Multipurpose",14856.1,"60906229fc13ae0a6b00036f","Pam Beesly","Sauer-Swift",320,,65,3,,6,"3ccb45dc-b662-4c3f-b8d3-f81d4fbc77f1","MONTH",78.19,"OX9001","Boise X-9 Multipurpose Paper, 20 lbs., 92 Brightness, 500 Sheets/Ream, 10 Reams/Carton",2021-10-11 12:38:21.000,190,5,,"We have been loyal customers for over 10 years now and there is no other place we will ever buy paper from",2021-10-27 21:59:57.000,"557 Manitowish Plaza","Port Marleneland",100,38.972676,-94.874826,"EXPRESS","South","AL",66292,"COMPLETED","Ava Chicken","ava@sauer-swift.com"
"Copy",415199.39999999997,"60906229fc13ae0a6b000109","Ryan Howard","Pacocha, Moen and Dietrich",820,,66,7,,15,"3cf59fa4-6d69-4411-8d85-944bc4286569","ANNUAL",6919.99,"3r02047pl","Hammermill Copy Plus Copy Paper, 92 Brightness, 20lb, 8-1/2 X 11, White, 200,000 Sheets/CT",2021-02-26 22:07:09.000,60,,"2021-03-06 7:43:09",,,"87002 Moland Lane","Port Shanny",,40.100924,-83.013402,"REGULAR","South","OK",43094,"RETURNED","Bella Mouse","bella@pacocha.com"
"Multipurpose",11878.199999999999,"60906229fc13ae0a6b00021c","Dwight Schrute","Nader-Koelpin",917,,122,3,7.92,14,"3d03369e-e82c-450f-9301-292370975edd","WEEK",65.99,"3R02047","Xerox Vitality Multipurpose Paper, 8.5"" x 11"", 20 lbs., White, 500 Sheets/Ream, 10 Reams/Carton",2021-03-21 02:19:16.000,180,3,,"Not a bad option if you're still using paper. Our company is trying to move to digital in the next few years.",2021-04-02 00:52:52.000,"78881 Rieder Street","Dorotheaberg",100,42.470521,-73.630031,"EXPRESS","South","MS",12133,"COMPLETED","Stu Bull","stu@nader-koelpin.com"
"Multipurpose",1198,"60906229fc13ae0a6b0002db","Dwight Schrute","Parisian-West",840,2021-11-14 04:36:35.000,145,,,14,"3d3a4d1b-cea3-4fdb-a582-701c521a703f",,5.99,"HPC8511","HP Office20 Multipurpose Paper, 20 lbs., 92 Brightness, 500/Ream",2021-01-07 21:16:36.000,200,,,,,"24 Lawn Trail","South Andychester",,39.713946,-76.651281,,"Northeast","PA",21106,"CANCELLED","Tom Cat","tom@parisian-west.com"
"Cardstock",30940.199999999997,"60906229fc13ae0a6b000284","Kevin Malone","O'Conner, Kreiger and Krajcik",3190,,119,5,29.22,14,"3d6ca0e8-dccf-446b-923d-bb45055ea129","ANNUAL",171.89,"3R11458","Xerox Bold 8.5"" x 11"" Cardstock Paper, 80 lbs, 94 Brightness, 250/Ream, 8 Reams/Carton",2021-02-01 08:21:33.000,180,4,,"Heard of Dunder Mifflin through the grapevine, and they did not disappoint!",2021-02-17 23:14:21.000,"5 Hoffman Street","Wintheisershire",100,38.584047,-121.375846,"EXPRESS","West","NV",95865,"COMPLETED","Anicotti Mouse","anicotti@oconner.com"
"Printer",4750,"60906229fc13ae0a6b00010a","Stanley Hudson","Ryan Ltd",43,,97,6,,2,"3e08e6dd-1896-4763-8245-23053cfff9b6","MONTH",25,"51747084B","JAM Paper® Ledger Strathmore 24lb Paper, 11 x 17 Tabloid, Bright White Wove, 500 Sheets/Ream",2021-05-25 19:09:49.000,190,,,,,"8185 Pawling Plaza","Horacioborough",100,34.222079,-116.564222,"EXPRESS","West","HI",92269,"COMPLETED","Hopkins Rabbit","hopkins@ryan.com"
"Cardstock",18907.899999999998,"60906229fc13ae0a6b00030c","Andy Bernard","Thompson Inc",4117,,75,9,1.72,6,"3e18795e-a30a-4c3f-9f39-ebfce81f2e70","ANNUAL",171.89,"3R11458","Xerox Bold 8.5"" x 11"" Cardstock Paper, 80 lbs, 94 Brightness, 250/Ream, 8 Reams/Carton",2021-03-25 19:40:22.000,110,4,,"Heard of Dunder Mifflin through the grapevine, and they did not disappoint!",2021-04-19 01:54:46.000,"019 Badeau Circle","East Reystad",,27.984396,-82.015259,"REGULAR","West","CA",33811,"COMPLETED","Phoebe Ostrich","phoebe@thompson.com"
"Multipurpose",479.20000000000005,"60906229fc13ae0a6b00026d","Erin Hannon","Lebsack Group",68,,26,7,,4,"3ee5589c-0610-423b-beeb-267d176f38fb","MONTH",5.99,"HPC8511","HP Office20 Multipurpose Paper, 20 lbs., 92 Brightness, 500/Ream",2021-06-07 21:55:31.000,80,,,,,"71 Rieder Avenue","Fayshire",,36.383789,-82.278722,"REGULAR","West","MT",37696,"COMPLETED","Broffina Chicken","broffina@lebsack.com"
"Copy",761198.9,"60906229fc13ae0a6b0002b6","Kevin Malone","Dickinson Group",990,,2,5,,11,"3ee64234-0e54-4e84-a1ef-6ffdcb2e4c00","WEEK",6919.99,"3r02047pl","Hammermill Copy Plus Copy Paper, 92 Brightness, 20lb, 8-1/2 X 11, White, 200,000 Sheets/CT",2021-07-02 22:20:56.000,110,,"2021-07-08 0:59:20",,,"6913 Grasskamp Alley","Emmettmouth",,39.675999,-106.308296,"REGULAR","South","TX",81935,"RETURNED","Paula Bear","paula@dickinson.com"
"Copy",691999,"60906229fc13ae0a6b000302","Andy Bernard","Harris-Ondricka",137,,6,1,,14,"3f1fd102-e0d1-4eb3-a230-ac8c6f6f9b4d","MONTH",6919.99,"3r02047pl","Hammermill Copy Plus Copy Paper, 92 Brightness, 20lb, 8-1/2 X 11, White, 200,000 Sheets/CT",2021-06-19 18:19:56.000,100,,"2021-06-26 9:41:32",,,"1263 Pennsylvania Alley","South Maurine",100,33.976652,-110.960344,"EXPRESS","Midwest","IN",85590,"RETURNED","Peanut Squirrel","peanut@harris-ondricka.com"
"Kraft Roll",712,"60906229fc13ae0a6b000194","Andy Bernard","Ebert-Greenfelder",186,,10,4,5.7,1,"3f51222e-4155-43c9-908c-4682ca83e868","WEEK",35.6,"C2130240ST","Delta Paper Kraft Paper Roll, Brown, 30 lbs., 24"" x 1200', 1 Roll",2021-05-14 13:04:03.000,20,3,,"Shipping is SO slow. They're headquartered in Scranton, so shipping anything beyond the Northeast is a drag.",2021-05-28 14:59:15.000,"23 Susan Crossing","North Lucy",100,62.450132,-149.789952,"EXPRESS","South","KY",99676,"COMPLETED","Tangy Cat","tangy@ebert-greenfelder.com"
"Kraft Roll",4199.3,"60906229fc13ae0a6b000325","Pam Beesly","Wilderman Group",21,,127,1,10.8,11,"3f513a29-536c-4d97-9a7f-9ec17c796f38","MONTH",59.99,"310-36-40","Delta Paper Butcher Paper Roll, White, 40 lbs., 36"" x 1000', 1 Roll",2021-09-30 12:49:00.000,70,3,,"Shipping is pretty slow",2021-10-12 15:13:00.000,"647 Bay Junction","Morissetteshire",100,41.024426,-79.141266,"EXPRESS","Northeast","NJ",15800,"COMPLETED","Peanut Squirrel","peanut@wilderman.com"
"Multipurpose",252420,"60906229fc13ae0a6b00035f","Dwight Schrute","Lesch-Vandervort",102,,57,1,,8,"3f87a9b0-d883-4f16-a267-1751a7d231d5","MONTH",1803,"TR56962-LQO","TRU RED™ Multipurpose Paper, 20 lbs., 96 Bright, 500 /Ream, 10 Reams/Carton, 40 Cartons/Pallet",2021-04-08 14:25:12.000,140,1,,"AVOID THIS PLACE WITH YOUR LIFE",2021-04-22 19:56:24.000,"47 Declaration Circle","West Celestino",100,37.768106,-122.386927,"EXPRESS","Midwest","SD",94289,"COMPLETED","Rocco Hippo","rocco@lesch-vandervort.com"
"Cardstock",10313.4,"60906229fc13ae0a6b000137","Dwight Schrute","Farrell, Cruickshank and Hettinger",4645,,13,5,25.78,3,"3f87af65-9faf-4949-8c3a-a2d9ee01ac9c","ANNUAL",171.89,"3R11458","Xerox Bold 8.5"" x 11"" Cardstock Paper, 80 lbs, 94 Brightness, 250/Ream, 8 Reams/Carton",2021-12-08 19:44:33.000,60,2,,"Beware! Once they lock you into a contract, it's extremely difficult to change or get out of it",2021-12-22 13:30:09.000,"67990 Farmco Place","Laishaport",,37.902226,-122.317378,"REGULAR","South","DE",94891,"COMPLETED","Beardo Bear","beardo@farrell.com"
"Multipurpose",324540,"60906229fc13ae0a6b0003a9","Angela Martin","Beier-Nitzsche",586,,148,5,,4,"3f99bcd8-e8ea-4293-9d2c-8f2a9cb587f3","BIWEEK",1803,"TR56962-LQO","TRU RED™ Multipurpose Paper, 20 lbs., 96 Bright, 500 /Ream, 10 Reams/Carton, 40 Cartons/Pallet",2021-02-21 11:58:04.000,180,5,,"Excellent",2021-03-04 22:46:04.000,"82283 Katie Street","Lake Haylie",100,38.259262,-94.300276,"EXPRESS","West","OR",64731,"COMPLETED","Vic Bull","vic@beier-nitzsche.com"
"Printer",1978.5,"60906229fc13ae0a6b0001da","Oscar Martinez","Blanda, Gleason and Smitham",318,,90,3,,4,"400280c2-d8f9-410b-9411-ff4f6b1173bf","BIWEEK",13.19,"20270","Astrobrights Color Paper, 24 lb./89 gsm, Neon 5-Color Assortment, 500 Sheets/Pack",2021-11-03 03:45:02.000,150,5,,"Excellent",2021-11-28 09:59:26.000,"0 Alpine Circle","Noetown",100,38.955565,-94.679875,"EXPRESS","South","TX",66212,"COMPLETED","Biskit Dog","biskit@blanda.com"
"Multipurpose",162270,"60906229fc13ae0a6b000165","Pam Beesly","Hill Inc",80,,107,6,,3,"400b31a8-e6d6-4533-b43a-d6fc64d7448f","MONTH",1803,"TR56962-LQO","TRU RED™ Multipurpose Paper, 20 lbs., 96 Bright, 500 /Ream, 10 Reams/Carton, 40 Cartons/Pallet",2021-05-25 12:08:17.000,90,5,,"Great deal",2021-06-22 08:03:29.000,"6793 Banding Drive","South Wilhelmine",,32.19061,-90.258327,"REGULAR","South","TN",39299,"COMPLETED","Nibbles Squirrel","nibbles@hill.com"
"Cardstock",369,"60906229fc13ae0a6b0003a1","Stanley Hudson","Skiles-Larson",951,,38,1,,9,"401d6436-ae0a-48df-bed5-9262d1b445b1","WEEK",3.69,"91335","Neenah Paper Creative Collection Basic 8.5"" x 11"" Cardstock Paper, 65 lbs., 50 Sheets/Pack",2021-05-13 17:58:10.000,100,4,,"Heard of Dunder Mifflin through the grapevine, and they did not disappoint!",2021-06-08 20:22:10.000,"38 Jackson Terrace","South Antoniettaside",100,41.305641,-86.014116,"EXPRESS","Northeast","CT",46524,"COMPLETED","Anicotti Mouse","anicotti@skiles-larson.com"
"Kraft Roll",8998.5,"60906229fc13ae0a6b00011c","Ryan Howard","Nicolas, Murazik and Nicolas",466,,107,3,0.6,11,"402d0235-a74f-462a-acf2-7f65805d5c08","BIWEEK",59.99,"310-36-40","Delta Paper Butcher Paper Roll, White, 40 lbs., 36"" x 1000', 1 Roll",2021-09-02 11:35:36.000,150,3,,"I've never had a problem with Dunder Mifflin before, but this time my order was MISSING several bundles",2021-09-28 21:54:48.000,"748 Superior Center","Hassanshire",,25.753332,-80.270379,"REGULAR","Northeast","NY",33134,"COMPLETED","Lobo Wolf","lobo@nicolas.com"
"Cardstock",18907.899999999998,"60906229fc13ae0a6b000070","Kevin Malone","Green, Mante and Ritchie",3438,,103,3,10.31,4,"40473c8b-aec3-4bc6-b436-53c09db3e3ed","ANNUAL",171.89,"3R11458","Xerox Bold 8.5"" x 11"" Cardstock Paper, 80 lbs, 94 Brightness, 250/Ream, 8 Reams/Carton",2021-09-15 19:38:40.000,110,4,,"Docking one star because they could have better selections and offers. Otherwise, I love Dundler Mifflin and see ourselves becoming repeat customers!",2021-10-16 00:41:04.000,"77 Clemons Plaza","Port Urban",,35.571971,-82.614729,"REGULAR","Northeast","NY",28893,"COMPLETED","Sally Squirrel","sally@green.com"
"Kraft Roll",7198.8,"60906229fc13ae0a6b00022f","Erin Hannon","Jaskolski Ltd",770,,143,6,2.4,7,"40796a70-b502-4c3b-a301-190f54042907","WEEK",59.99,"310-36-40","Delta Paper Butcher Paper Roll, White, 40 lbs., 36"" x 1000', 1 Roll",2021-01-31 04:52:16.000,120,4,,"Heard of Dunder Mifflin through the grapevine, and they did not disappoint!",2021-03-03 00:33:04.000,"5825 Starling Plaza","Manteshire",,35.907875,-78.77296,"REGULAR","South","WV",27696,"COMPLETED","Lobo Wolf","lobo@jaskolski.com"
"Cardstock",10313.4,"60906229fc13ae0a6b0002aa","Michael Scott","Corkery Ltd",1710,,113,1,27.5,9,"40a902a5-45b2-425b-b231-d598370c9f0d","ANNUAL",171.89,"3R11458","Xerox Bold 8.5"" x 11"" Cardstock Paper, 80 lbs, 94 Brightness, 250/Ream, 8 Reams/Carton",2021-08-25 01:22:01.000,60,3,,"Account manager was not responsive",2021-09-22 21:02:49.000,"349 Springs Terrace","North Aubreyview",,34.851278,-106.011454,"REGULAR","Northeast","ME",87033,"COMPLETED","Mathilda Kangaroo","mathilda@corkery.com"
"Multipurpose",252420,"60906229fc13ae0a6b0001f8","Michael Scott","Beatty PLC",29,2021-03-23 01:44:00.000,134,,,9,"418b5fec-6281-4b79-97ba-51e973fe65a8",,1803,"TR56962-LQO","TRU RED™ Multipurpose Paper, 20 lbs., 96 Bright, 500 /Ream, 10 Reams/Carton, 40 Cartons/Pallet",2021-08-25 10:40:55.000,140,,,,,"280 American Plaza","Hilllmouth",,40.136481,-88.305307,,"Midwest","IN",61822,"CANCELLED","Bunnie Rabbit","bunnie@beatty.com"
"Printer",4750,"60906229fc13ae0a6b0002e4","Stanley Hudson","King, Mante and Schowalter",321,,48,4,,15,"41aa92d1-70e2-4e99-99dc-7a7b81f64f6e","MONTH",25,"51747084B","JAM Paper® Ledger Strathmore 24lb Paper, 11 x 17 Tabloid, Bright White Wove, 500 Sheets/Ream",2021-03-14 01:01:55.000,190,,,,,"8641 Fallview Road","West Corneliushaven",100,40.396027,-79.116263,"EXPRESS","South","DE",15949,"COMPLETED","Yuka Koala","yuka@king.com"
"Kraft Roll",9598.4,"60906229fc13ae0a6b00035e","Oscar Martinez","Price-Kutch",756,2021-01-29 05:01:21.000,27,,6,9,"421867ab-e65d-4212-bfd6-1b42377ba758",,59.99,"310-36-40","Delta Paper Butcher Paper Roll, White, 40 lbs., 36"" x 1000', 1 Roll",2021-12-29 14:10:03.000,160,,,,,"965 Browning Hill","Kochburgh",,44.804124,-122.413624,,"West","CA",97358,"CANCELLED","Fang Wolf","fang@price-kutch.com"
"Multipurpose",778.7,"60906229fc13ae0a6b000186","Dwight Schrute","Walker-Wintheiser",600,,100,8,,4,"427e9e20-1cdb-42c6-8350-16da0d0220a4","BIWEEK",5.99,"HPC8511","HP Office20 Multipurpose Paper, 20 lbs., 92 Brightness, 500/Ream",2021-05-02 08:32:01.000,130,,,,,"21461 Longview Park","West Mohammed",,26.686371,-80.042626,"REGULAR","West","CA",33481,"COMPLETED","Knox Chicken","knox@walker-wintheiser.com"
"Printer",4750,"60906229fc13ae0a6b000312","Kelly Kapoor","O'Hara and Sons",656,,0,3,,8,"42ce7a30-ed75-4b8d-83ed-6a2396fc51eb","BIWEEK",25,"51747084B","JAM Paper® Ledger Strathmore 24lb Paper, 11 x 17 Tabloid, Bright White Wove, 500 Sheets/Ream",2021-08-01 08:38:02.000,190,,,,,"82874 Katie Lane","Port Art",100,42.458164,-92.260032,"EXPRESS","Midwest","KS",50799,"COMPLETED","Rooney Kangaroo","rooney@ohara.com"
"Multipurpose",9238.599999999999,"60906229fc13ae0a6b000123","Kelly Kapoor","Glover Group",579,2021-12-11 18:32:33.000,148,,6.6,3,"436a12d2-2b0d-4ac8-b8d5-c33bdd4aa1a3",,65.99,"3R02047","Xerox Vitality Multipurpose Paper, 8.5"" x 11"", 20 lbs., White, 500 Sheets/Ream, 10 Reams/Carton",2021-02-25 22:19:34.000,140,,,,,"799 Brown Circle","West Malcolm",,44.911161,-71.818697,,"Midwest","MI",5924,"CANCELLED","Cleo Horse","cleo@glover.com"
"Kraft Roll",2399.6,"60906229fc13ae0a6b000345","Dwight Schrute","Mosciski-Rice",613,,51,6,4.8,6,"439c9c9c-946c-4450-9a32-674e74ec6f6e","ANNUAL",59.99,"310-36-40","Delta Paper Butcher Paper Roll, White, 40 lbs., 36"" x 1000', 1 Roll",2021-10-10 21:45:07.000,40,3,,"Not a bad option if you're still using paper. Our company is trying to move to digital in the next few years.",2021-11-06 03:16:19.000,"554 Old Gate Junction","Wilsonborough",100,37.860342,-81.81904,"EXPRESS","West","AZ",25022,"COMPLETED","Deirdre Deer","deirdre@mosciski-rice.com"
"Multipurpose",306510,"60906229fc13ae0a6b0002f3","Phyllis Vance","Metz Ltd",589,,140,2,,3,"43c0c29e-6db4-43e5-829e-4f807901fe80","BIWEEK",1803,"TR56962-LQO","TRU RED™ Multipurpose Paper, 20 lbs., 96 Bright, 500 /Ream, 10 Reams/Carton, 40 Cartons/Pallet",2021-03-01 09:50:58.000,170,5,,"The customer service is fantastic. I can always trust that Dunder Mifflin will take good care of us and our needs.",2021-04-01 01:55:46.000,"044 Harbort Park","Port Altheastad",100,43.872576,-76.014735,"EXPRESS","Midwest","MI",13606,"COMPLETED","Sydney Koala","sydney@metz.com"
"Multipurpose",162270,"60906229fc13ae0a6b000020","Dwight Schrute","Mayer-Kozey",911,,36,10,,4,"441162ee-9aba-4763-ae24-75e0e91c823e","ANNUAL",1803,"TR56962-LQO","TRU RED™ Multipurpose Paper, 20 lbs., 96 Bright, 500 /Ream, 10 Reams/Carton, 40 Cartons/Pallet",2021-03-13 10:01:47.000,90,4,,"Excellent customer service. The product itself is standard, but I enjoy working with my account manager so much that we end up resubscribing.",2021-03-24 02:49:47.000,"1 Pepper Wood Trail","North Elyseborough",,26.692897,-82.034065,"REGULAR","West","MT",34084,"COMPLETED","Piper Bird","piper@mayer-kozey.com"
"Multipurpose",7918.799999999999,"60906229fc13ae0a6b000327","Kelly Kapoor","Hessel-Klocko",501,,94,0,15.18,8,"44a65a39-00f3-4cfb-a485-a4e0e66a1f3c","BIWEEK",65.99,"3R02047","Xerox Vitality Multipurpose Paper, 8.5"" x 11"", 20 lbs., White, 500 Sheets/Ream, 10 Reams/Carton",2021-11-01 00:08:17.000,120,5,,"Order shipped quickly and arrived in great shape",2021-11-16 16:56:17.000,"2 Burrows Trail","Swaniawskibury",100,34.301882,-94.318986,"EXPRESS","Northeast","ME",71977,"COMPLETED","Anchovy Bird","anchovy@hessel-klocko.com"
"Printer",2506.1,"60906229fc13ae0a6b0002fb","Kevin Malone","Pagac-Padberg",600,2021-02-15 20:40:33.000,82,,,4,"44ad22a6-d587-49d8-8928-755ac56dca43",,13.19,"20270","Astrobrights Color Paper, 24 lb./89 gsm, Neon 5-Color Assortment, 500 Sheets/Pack",2021-01-10 00:17:22.000,190,,,,,"4665 Eliot Drive","Feestland",,38.173556,-121.312247,,"West","HI",95266,"CANCELLED","Bettina Mouse","bettina@pagac-padberg.com"
"Copy",287800,"60906229fc13ae0a6b000269","Dwight Schrute","Johnson, Mohr and Pagac",209,,89,3,,2,"44ba66f1-f690-435e-8f39-4763c7ad418c","MONTH",1439,"324791-LQO","Copy Paper, 20 lbs., 92 Brightness, 500 Sheets/Ream, 40 Cases/Pallet",2021-11-10 01:39:18.000,200,2,,"Rats chewed through my paper during the shipping process",2021-12-01 05:15:18.000,"6688 Jay Circle","Port Marcellachester",100,38.614716,-95.672323,"EXPRESS","South","OK",66487,"COMPLETED","Claudia Tiger","claudia@johnson.com"
"Copy",143900,"60906229fc13ae0a6b0003da","Creed Patton","Zulauf, Bartell and Bernier",360,1900-01-01 10:19:12.000,49,,,1,"44c58f11-b2c8-419c-a992-ec5e4bb6ab29",,1439,"324791-LQO","Copy Paper, 20 lbs., 92 Brightness, 500 Sheets/Ream, 40 Cases/Pallet",2021-04-14 13:31:35.000,100,,,,,"2 Charing Cross Pass","Beahanstad",,41.652326,-81.441721,,"South","FL",44098,"CANCELLED","Coco Rabbit","coco@zulauf.com"
"Multipurpose",378630,"60906229fc13ae0a6b000139","Oscar Martinez","Brakus-Abernathy",315,,146,7,,15,"44eec938-dfac-4472-8c34-346c52a31124","MONTH",1803,"TR56962-LQO","TRU RED™ Multipurpose Paper, 20 lbs., 96 Bright, 500 /Ream, 10 Reams/Carton, 40 Cartons/Pallet",2021-10-08 19:46:52.000,210,5,,"Never had a problem with Dunder Mifflin",2021-11-03 12:49:16.000,"75062 Hooker Center","Lake Tateside",,39.446936,-89.615992,"REGULAR","South","WV",62533,"COMPLETED","Tiffany Rabbit","tiffany@brakus-abernathy.com"
"Copy",43170,"60906229fc13ae0a6b000207","Oscar Martinez","Renner, Stokes and Hickle",667,,89,5,,4,"45329096-e5de-417e-a9c5-0989c5c1b4aa","ANNUAL",1439,"324791-LQO","Copy Paper, 20 lbs., 92 Brightness, 500 Sheets/Ream, 40 Cases/Pallet",2021-03-11 01:22:05.000,30,3,,"They stopped providing bundles and special deals and hiked their prices. I understand they need to survive, but with the competition nowadays (Staples, Amazon, Prince Paper) this is likely only going to hurt them",2021-03-31 08:05:17.000,"298 Mallory Street","Toniburgh",100,27.974876,-82.745121,"EXPRESS","South","WV",33765,"COMPLETED","Chevre Goat","chevre@renner.com"
"Multipurpose",72120,"60906229fc13ae0a6b000380","Pam Beesly","Mosciski Inc",410,,150,4,,3,"45527739-848f-4bb7-8a36-29e1ea0cdd1e","ANNUAL",1803,"TR56962-LQO","TRU RED™ Multipurpose Paper, 20 lbs., 96 Bright, 500 /Ream, 10 Reams/Carton, 40 Cartons/Pallet",2021-09-19 17:50:26.000,40,3,,"They stopped providing bundles and special deals and hiked their prices. I understand they need to survive, but with the competition nowadays (Staples, Amazon, Prince Paper) this is likely only going to hurt them",2021-10-01 20:57:38.000,"9 Miller Way","East Helmerland",100,39.296292,-114.976004,"EXPRESS","South","DE",89381,"COMPLETED","Ozzie Koala","ozzie@mosciski.com"
"Copy",244630,"60906229fc13ae0a6b000297","Erin Hannon","Deckow-Orn",686,,55,2,,6,"455a0765-bdf5-407d-aa9e-b8f7ef096408","BIWEEK",1439,"324791-LQO","Copy Paper, 20 lbs., 92 Brightness, 500 Sheets/Ream, 40 Cases/Pallet",2021-04-09 16:18:24.000,170,3,,"Not a visionary company, but they get the job done.",2021-04-24 04:04:00.000,"23 Gale Plaza","Olsonburgh",,41.866034,-73.342084,"REGULAR","Northeast","NY",6796,"COMPLETED","Chevre Goat","chevre@deckow-orn.com"
"Multipurpose",9238.599999999999,"60906229fc13ae0a6b0001df","Michael Scott","Leffler, Cronin and Feeney",530,,58,7,13.86,10,"45b07f6d-25d0-4df6-9046-892b33e4a344","BIWEEK",65.99,"3R02047","Xerox Vitality Multipurpose Paper, 8.5"" x 11"", 20 lbs., White, 500 Sheets/Ream, 10 Reams/Carton",2021-10-13 11:54:06.000,140,5,,"The customer service is fantastic. I can always trust that Dunder Mifflin will take good care of us and our needs.",2021-11-01 05:10:54.000,"56 Milwaukee Center","South Una",100,37.186248,-91.62303,"EXPRESS","West","HI",65574,"COMPLETED","Baabara Sheep","baabara@leffler.com"
"Multipurpose",6598.999999999999,"60906229fc13ae0a6b00035a","Andy Bernard","Ankunding Inc",255,,61,5,15.84,3,"45d6904a-2634-4264-9391-12b63b08f7bc","BIWEEK",65.99,"3R02047","Xerox Vitality Multipurpose Paper, 8.5"" x 11"", 20 lbs., White, 500 Sheets/Ream, 10 Reams/Carton",2021-11-21 12:34:21.000,100,5,,"The customer service is fantastic. I can always trust that Dunder Mifflin will take good care of us and our needs.",2021-12-02 13:46:21.000,"1 Dakota Trail","Gaylordhaven",100,39.037157,-80.528154,"EXPRESS","West","CO",26454,"COMPLETED","Lopez Deer","lopez@ankunding.com"
"Cardstock",627.3,"60906229fc13ae0a6b0003e4","Stanley Hudson","Shanahan, Reinger and Ryan",209,,92,5,,4,"45e70e54-731b-44e0-a59a-6d83d1aa0372","MONTH",3.69,"91335","Neenah Paper Creative Collection Basic 8.5"" x 11"" Cardstock Paper, 65 lbs., 50 Sheets/Pack",2021-12-13 08:07:25.000,170,3,,"Decent company. Wish they expanded their product offering.",2021-12-23 22:17:01.000,"6726 Golf Course Avenue","Port Zacherymouth",100,44.956026,-93.08268,"EXPRESS","West","UT",55274,"COMPLETED","Canberra Koala","canberra@shanahan.com"
"Copy",69199.9,"60906229fc13ae0a6b000153","Andy Bernard","Block-Johns",387,,30,3,,12,"46a1dc10-15fd-4490-80c5-140a97edba07","ANNUAL",6919.99,"3r02047pl","Hammermill Copy Plus Copy Paper, 92 Brightness, 20lb, 8-1/2 X 11, White, 200,000 Sheets/CT",2021-12-05 18:03:10.000,10,,"2021-12-09 2:55:58",,,"53764 Rieder Pass","Kaseymouth",100,44.147613,-72.691275,"EXPRESS","Midwest","MI",5663,"RETURNED","Stitches Cub","stitches@block-johns.com"
"Multipurpose",230009,"60906229fc13ae0a6b000201","Meredith Palmer","Hickle-McDermott",2438,,87,4,,9,"46aec9b9-ea47-415d-b68c-6df9646337b6","ANNUAL",2300.09,"2700-LQO","EarthChoice Multipurpose Paper, 20 lbs., 92 Brightness, 40 Cases/Pallet",2021-07-25 09:19:22.000,100,3,,"Not a visionary company, but they get the job done.",2021-08-07 05:43:22.000,"83 Mccormick Avenue","Hilpertstad",,37.982958,-84.489425,"REGULAR","Midwest","SD",40549,"COMPLETED","Tasha Squirrel","tasha@hickle-mcdermott.com"
